Mf,Scaled Distance,Overpressure
0.25,1.691266,0.06325612
0.25,1.742603,0.06151614
0.25,1.795498,0.059824
0.25,1.849998,0.05817841
0.25,1.906152,0.05657809
0.25,1.964012,0.0550218
0.25,2.023627,0.0535083
0.25,2.085127,0.05167309
0.25,2.148341,0.05060507
0.25,2.213631,0.04886944
0.25,2.280824,0.04752517
0.25,2.350055,0.04621789
0.25,2.421389,0.04494657
0.25,2.494887,0.04371022
0.25,2.570617,0.04250788
0.25,2.64874,0.04104996
0.25,2.729041,0.0402015
0.25,2.81198,0.03882269
0.25,2.89723,0.03802027
0.25,2.98528,0.03671626
0.25,3.075894,0.0357063
0.25,3.169259,0.03472413
0.25,3.265576,0.03353317
0.25,3.364699,0.03261076
0.25,3.466831,0.03171374
0.25,3.572062,0.03084139
0.25,3.680356,0.03020393
0.25,3.792069,0.0293731
0.25,3.907032,0.028766
0.25,4.025625,0.02797472
0.25,4.147968,0.02701526
0.25,4.273875,0.02627215
0.25,4.403604,0.02554947
0.25,4.53727,0.02484668
0.25,4.674994,0.02416322
0.25,4.816724,0.0236638
0.25,4.962931,0.02301287
0.25,5.113575,0.02237985
0.25,5.268981,0.02161227
0.25,5.428915,0.02101779
0.25,5.593704,0.02043965
0.25,5.76391,0.01960078
0.25,5.939295,0.01879636
0.25,6.119355,0.01840786
0.25,6.305101,0.01790151
0.25,6.496251,0.01753151
0.25,6.693196,0.01716915
0.25,6.89636,0.01669688
0.25,7.105691,0.01623759
0.25,7.321376,0.01579094
0.25,7.54388,0.01524935
0.25,7.772866,0.01482988
0.25,8.008803,0.01442195
0.25,8.252198,0.01392732
0.25,8.503298,0.01335573
0.25,8.762038,0.0128076
0.25,9.028324,0.01236833
0.25,9.302032,0.01211269
0.25,9.584387,0.0117795
0.25,9.874599,0.01161715
0.5,0.04832903,0.9436727
0.5,0.04978881,0.9438009
0.5,0.05129086,0.9505665
0.5,0.05284011,0.9506957
0.5,0.05443615,0.9508249
0.5,0.05608042,0.950954
0.5,0.05777018,0.9645057
0.5,0.05951299,0.9714198
0.5,0.06131059,0.9715517
0.5,0.06316023,0.9785163
0.5,0.065068,0.9786492
0.5,0.06702856,0.9925956
0.5,0.0690482,1.006741
0.5,0.07113125,1.013958
0.5,0.07327715,1.021226
0.5,0.07548777,1.028547
0.5,0.07776511,1.03592
0.5,0.08011402,1.036061
0.5,0.08253091,1.043488
0.5,0.08502071,1.050968
0.5,0.08758564,1.058502
0.5,0.09022141,1.081135
0.5,0.09293988,1.096542
0.5,0.09574369,1.104403
0.5,0.09863212,1.112319
0.5,0.1016113,1.112471
0.5,0.1046767,1.120445
0.5,0.1078385,1.120598
0.5,0.1110918,1.128631
0.5,0.1144474,1.128784
0.5,0.1179,1.136876
0.5,0.1214612,1.13703
0.5,0.1251255,1.145181
0.5,0.1289049,1.145336
0.5,0.1327938,1.153547
0.5,0.1368048,1.153703
0.5,0.140932,1.161974
0.5,0.1451941,1.154017
0.5,0.1495905,1.138112
0.5,0.1541201,1.122426
0.5,0.1587868,1.106956
0.5,0.1636006,1.084076
0.5,0.1685544,1.069135
0.5,0.1736582,1.0544
0.5,0.1789035,1.054543
0.5,0.184314,1.047322
0.5,0.1898881,1.04015
0.5,0.1956308,1.033027
0.5,0.2015471,1.025954
0.5,0.2076424,1.018928
0.5,0.213922,1.011951
0.5,0.2203995,0.9980037
0.5,0.2270649,0.9911696
0.5,0.2339319,0.9843824
0.5,0.2410066,0.9776416
0.5,0.2483041,0.9641673
0.5,0.2558227,0.9508787
0.5,0.2635689,0.9377732
0.5,0.2715496,0.9248483
0.5,0.279772,0.9121016
0.5,0.288233,0.9058558
0.5,0.2969606,0.8933709
0.5,0.3059524,0.881058
0.5,0.3152052,0.8750248
0.5,0.3247494,0.8629647
0.5,0.3345827,0.851071
